retroID,BAOpp,ERA,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
shawd102,0.2823,6.2417,13,14,138,1,0,0,6,566,166,84,19,101,123,16,11,3,0,816,55,95,3,6,0
shawj001,0.2605,4.0907,34,54,633,19,0,0,203,2544,821,334,91,234,545,44,18,25,1,3549,384,368,37,28,78
shawj101,0.2967,4.7867,29,35,98,73,40,3,9,1750,618,238,19,205,220,0,24,9,0,2427,20,279,0,0,0
shawm001,0.31,9.74,0,0,14,0,0,0,0,61,26,22,5,13,29,0,1,5,0,103,4,22,0,1,1
sheaa101,0.31,6.53,8,6,47,12,3,0,2,369,161,78,6,56,53,0,0,1,0,581,24,88,0,0,0
sheaj102,0.25,18,0,0,1,0,0,0,0,3,1,2,0,1,0,0,0,0,0,5,1,2,0,0,0
shear102,0.24,3.895,5,5,20,4,1,0,0,165,50,23,4,13,15,0,0,3,0,226,10,27,0,0,0
sheas101,0.2512,4.1475,56,46,195,118,48,12,5,2831,849,398,66,497,361,0,15,19,2,4076,50,453,0,0,0
sheas102,0.26,3.125,4,4,40,0,0,0,6,151,45,18,2,19,26,2,2,3,0,210,24,22,0,0,0
sheat001,0.262,4.96,3,0,7,6,0,0,0,98,32,18,8,13,16,0,1,0,0,137,0,18,1,1,4
sheeb001,0.259,3.812,94,96,250,250,18,4,0,4790,1577,670,184,369,1325,28,53,32,1,6640,0,736,64,37,95
sheet102,0.288,5.222,12,14,93,24,10,2,5,951,349,146,11,110,93,0,3,4,1,1376,48,175,0,0,0
shefj001,0.3335,7.815,0,1,11,7,0,0,0,116,48,25,6,21,37,0,4,3,0,182,2,25,1,0,6
shelf101,0.3,5.14,1,3,8,4,2,0,0,105,40,20,1,16,10,0,0,0,0,148,4,24,0,0,0
shelj101,0.2465,4.344,16,30,165,48,8,2,2,1362,443,192,40,200,222,14,6,8,2,1960,36,228,12,11,4
shelr101,0.2614,3.7386,38,36,160,101,17,4,2,2174,741,329,87,207,371,17,24,14,1,3062,19,358,0,0,0
shels001,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
shels002,0.222,3.78,2,2,43,0,0,0,2,165,39,15,6,22,46,1,1,2,0,221,7,17,1,1,4
shepb101,0.16,1.69,0,0,1,0,0,0,0,16,3,1,0,1,2,0,0,1,0,20,1,1,0,0,0
shepc001,0.303,6.63,0,0,5,3,0,0,0,57,23,14,5,6,17,0,2,2,0,84,1,15,0,0,1
shepk001,0.373,13.74,2,5,41,1,0,0,3,189,80,47,10,30,34,2,2,1,0,296,15,57,6,5,6
sherb101,0.2894,3.6788,159,134,479,256,150,10,26,7581,2844,1065,146,612,799,0,26,51,2,10860,149,1248,0,0,0
sherg001,0.2715,6.012,19,17,442,0,0,0,56,973,280,136,29,154,320,23,9,8,2,1397,138,140,18,15,19
sherj001,0.197,2.5133,3,0,43,0,0,0,2,136,36,15,5,17,48,1,0,3,1,189,9,15,1,2,1
sherl101,0.2842,4.7625,53,44,416,16,2,1,82,2398,747,326,78,374,606,55,45,32,2,3480,245,377,0,0,0
sherr001,0.2845,4.745,2,1,18,0,0,0,0,60,21,9,3,6,18,0,0,2,0,87,2,9,0,0,1
sherr102,0.2833,4.8433,23,24,87,44,20,0,7,1239,473,216,23,166,149,0,10,13,0,1851,29,254,0,0,0
shert001,0.4075,7.195,0,0,18,0,0,0,0,56,30,16,2,6,7,1,2,2,0,92,5,18,2,2,2
shieb101,0.3975,14.0175,4,0,13,2,2,0,0,124,55,38,3,27,9,0,0,2,0,198,7,39,0,0,0
shiej001,0.432,13.4167,2,2,24,3,0,0,1,121,53,31,9,29,38,3,2,3,0,203,6,32,2,1,5
shiej002,0.2596,4.2136,145,139,407,405,23,9,0,7848,2581,1167,361,746,2234,22,107,97,10,10993,1,1267,53,45,211
shies001,0.2812,5.5183,8,8,102,6,0,0,3,657,269,128,32,91,126,13,15,3,1,991,32,146,13,10,36
